shape,max_tem,tem_rate,height,length,width,W_top,W_side,W_bottom,tem_initial,tem_out,days,location,y_temp
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,5.5,top,12.50988614
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,6,top,11.22113175
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,6.5,top,10.0735389
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,7,top,9.053332044
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,7.5,top,8.147068916
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,8,top,7.341841415
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,9,top,6.046027347
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,10,top,5.000867781
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,11,top,4.153528068
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,16,top,2.114449352
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,21,top,1.096943695
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,26,top,0.578260023
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,31,top,0.309214306
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,37,top,0.154179157
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,43,top,0.078861766
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,0,53,top,0.032703072
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0,top,20
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.1,top,21.7867965
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.2,top,23.02549984
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.3,top,24.10965677
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.4,top,25.08416716
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.5,top,25.94495484
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.6,top,26.68893624
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.7,top,27.31795457
sw1,48.8,0.73,4.4,20,2,13,14,2.7,20,5,0.8,top,27.83720821
